id,search_text,search_date,clicked_article_1,clicked_article_2,clicked_article_3
263,computer,2021-08-12 08:40:28.625414+00:00,,,
262,computer,2021-08-12 08:40:23.525017+00:00,,,
261,computer,2021-08-12 08:40:20.241664+00:00,,,
260,tv,2021-08-12 08:40:12.890861+00:00,,,
259,computer,2021-08-12 08:40:09.980602+00:00,,,
258,computer,2021-08-12 08:39:54.270253+00:00,Ventilateur Classique Blanc,,
257,computer,2021-08-12 08:39:54.265721+00:00,,,
256,tv,2021-08-12 08:39:17.211291+00:00,TCL 65QLED790 - TV QLED UHD 4K - 65' (165cm) - Dolby,Télévision LG Nanocell,
255,tv,2021-08-12 08:39:14.836802+00:00,,,
254,telephone,2021-08-12 08:39:12.328169+00:00,,,
253,computer,2021-08-12 08:38:41.573212+00:00,,,
252,computer,2021-08-12 08:38:23.913288+00:00,,,
251,computer,2021-08-12 08:38:18.657782+00:00,,,
250,computer,2021-08-12 08:38:17.572443+00:00,,,
249,computer,2021-08-12 08:38:14.249814+00:00,,,
248,tele,2021-08-12 08:38:12.589873+00:00,,,
247,computer,2021-08-12 08:38:04.598378+00:00,,,
246,pc,2021-08-12 08:37:54.558701+00:00,,,
245,pc,2021-08-12 08:37:53.350852+00:00,,,
244,computer,2021-08-12 08:37:45.305750+00:00,Ordinateur portable TOSHIBA Portégé,PC Portable - ACER Aspire 5 - A514-53,
243,ordinateur,2021-08-12 08:37:33.720298+00:00,,,
242,ordinateur,2021-08-12 08:37:30.661772+00:00,,,
241,computer,2021-08-12 08:37:26.216572+00:00,PC Portable Ultrabook - LENOVO,Ordinateur portable TOSHIBA Portégé,PC Portable - ACER Aspire 5 - A514-53
240,computer,2021-08-12 08:37:21.334388+00:00,Ordinateur portable TOSHIBA Portégé,PC Portable - ACER Aspire 5 - A514-53,PC Portable Ultrabook - LENOVO
239,computer,2021-08-12 08:37:20.238736+00:00,,,
238,ordinateur,2021-08-12 08:37:19.828600+00:00,,,
237,computer,2021-08-12 08:37:19.731260+00:00,Ordinateur portable TOSHIBA Portégé,PC Portable Ultrabook - LENOVO,
236,computer,2021-08-12 08:37:18.251329+00:00,,,
235,computer,2021-08-12 08:37:17.045227+00:00,,,
234,computer,2021-08-12 08:37:14.929518+00:00,,,
233,computer,2021-08-12 08:37:13.880603+00:00,,,
232,computer,2021-08-12 08:37:13.409630+00:00,PC Portable Ultrabook - LENOVO,PC Portable - ACER Aspire 5 - A514-53,Ordinateur portable TOSHIBA Portégé
231,computer,2021-08-12 08:37:06.025255+00:00,Ordinateur portable TOSHIBA Portégé,PC Portable Ultrabook - LENOVO,PC Portable - ACER Aspire 5 - A514-53
230,computer,2021-08-12 08:37:04.687082+00:00,Four électrique,,
229,computer,2021-08-12 08:37:03.847596+00:00,,,
228,computer,2021-08-12 08:37:03.653320+00:00,,,
227,computer,2021-08-12 08:37:02.773778+00:00,,,
226,computer,2021-08-12 08:36:58.412517+00:00,,,
225,computer,2021-08-12 08:36:58.073499+00:00,,,
224,computer,2021-08-12 08:36:49.445943+00:00,PC Portable Ultrabook - LENOVO,Ordinateur portable TOSHIBA Portégé,Ordinateur portable TOSHIBA Portégé
223,computer,2021-08-12 08:36:46.975649+00:00,,,
222,computer,2021-08-12 08:36:42.162525+00:00,,,
221,tv,2021-08-12 08:36:14.044072+00:00,,,
220,tv,2021-08-12 08:36:09.118416+00:00,,,
219,tv,2021-08-12 08:36:07.090360+00:00,,,
218,tv,2021-08-12 08:33:34.406269+00:00,,,
217,tv,2021-08-12 08:32:34.077544+00:00,,,
216,soja,2021-08-12 07:01:35.631154+00:00,,,
215,soja,2021-08-12 07:01:27.178300+00:00,,,
214,phone,2021-08-12 02:13:26.905170+00:00,,,
213,portable,2021-08-12 02:12:36.416185+00:00,Téléphone Samsung Galaxy Note 20 Ultra 5G,Téléphone Xiaomi Mi 11 5G,Téléphone Xiaomi Mi 10T
212,pc,2021-08-12 02:11:57.796811+00:00,Ordinateur portable TOSHIBA Portégé,,
211,ordinateur,2021-08-12 02:11:23.372157+00:00,Ordinateur portable TOSHIBA Portégé,PC Portable - ACER Aspire 5 - A514-53,PC Portable Ultrabook - LENOVO
210,ordi,2021-08-12 02:10:36.784483+00:00,Ordinateur portable TOSHIBA Portégé,PC Portable - ACER Aspire 5 - A514-53,PC Portable Ultrabook - LENOVO
209,ordi,2021-08-12 02:10:25.431506+00:00,,,
208,ecouteur,2021-08-12 02:09:23.686126+00:00,Casque Sony Noir,Casque Pionner Noir,Casque Beats Rouge
207,commande,2021-08-12 02:08:53.946877+00:00,Télécommande TV,,
206,ventilo,2021-08-12 02:08:16.555900+00:00,Ventilateur Connecté,Ventilateur Design Blanc,Ventilateur Classique Blanc
205,tv,2021-08-12 02:07:37.789717+00:00,TOSHIBA 50UL3B63DG TV LED UHD 4K - 5' (126 cm) - Smart TV - Bluetooth - 4 x HDMI - 2 X USB,TCL 65QLED790 - TV QLED UHD 4K - 65' (165cm) - Dolby,Télévision LG OLED
204,televiseur,2021-08-12 02:07:08.995538+00:00,TCL 65QLED790 - TV QLED UHD 4K - 65' (165cm) - Dolby,,
203,tele,2021-08-12 02:06:08.257325+00:00,Télévision LG OLED,Télévision LG Nanocell,Meuble TV
202,manette ps4,2021-08-12 02:05:39.003085+00:00,Manette PS4,,
201,manette,2021-08-12 02:05:28.987672+00:00,Manette PS4,,
200,dd,2021-08-12 02:04:55.238107+00:00,Disque dur externe TOSHIBA,,
199,disque dur externe,2021-08-12 02:04:40.927992+00:00,Disque dur externe TOSHIBA,,
198,disque dur,2021-08-12 02:04:30.408470+00:00,Disque dur externe TOSHIBA,,
197,congelateur,2021-08-12 02:04:13.290219+00:00,Réfrigérateur congélateur bas,,
196,congelo,2021-08-12 02:03:55.282029+00:00,Réfrigérateur congélateur bas,,
195,frigo,2021-08-12 02:03:35.056551+00:00,Réfrigérateur congélateur bas,,
194,four electrique,2021-08-12 02:03:19.251892+00:00,Four électrique,,
193,four,2021-08-12 02:03:02.546171+00:00,Four électrique,,
192,lave-vaisselle,2021-08-12 02:02:51.146200+00:00,,,
191,lave vaisselle,2021-08-12 02:02:38.695309+00:00,Lave vaisselle,,
190,vaisselle,2021-08-12 02:02:25.975823+00:00,Lave vaisselle,,
189,meuble,2021-08-12 02:02:01.587201+00:00,Meuble TV,,
188,hdmi,2021-08-12 02:01:27.690017+00:00,Cable HDMI pour TV,,
187,hdmi,2021-08-12 02:01:17.769270+00:00,,,
186,hdmi,2021-08-12 02:01:13.123877+00:00,,,
185,hdmi,2021-08-12 02:01:13.025270+00:00,,,
184,hdmi,2021-08-12 02:01:12.997305+00:00,,,
183,soja,2021-08-12 00:53:41.419624+00:00,Farine de Soja,,
182,tv,2021-08-11 15:18:03.816422+00:00,,,
181,tv,2021-08-11 15:18:02.957803+00:00,,,
180,ordinateur,2021-08-11 14:57:39.162943+00:00,,,
179,pc,2021-08-11 14:57:14.457694+00:00,,,
178,pc,2021-08-11 14:57:12.460043+00:00,,,
177,telephon,2021-08-11 14:56:55.680503+00:00,,,
176,telephon,2021-08-11 14:56:47.402199+00:00,,,
175,telophone,2021-08-11 14:56:06.086690+00:00,,,
174,telovision,2021-08-11 14:54:51.835654+00:00,,,
173,telovision,2021-08-11 14:54:50.012502+00:00,,,
172,telovision,2021-08-11 14:54:48.653124+00:00,,,
171,telovision,2021-08-11 14:54:44.219458+00:00,,,
170,television,2021-08-11 14:54:11.137947+00:00,,,
169,telovision,2021-08-11 14:53:22.656089+00:00,,,
168,tv,2021-08-11 14:52:20.040281+00:00,,,
167,television,2021-08-11 14:36:00.820774+00:00,,,
166,tv,2021-08-11 14:35:07.876761+00:00,,,
165,television,2021-08-11 14:31:22.537756+00:00,,,
164,television,2021-08-11 14:29:02.505212+00:00,,,
163,tolevision,2021-08-11 14:28:15.538804+00:00,,,
162,tolevision,2021-08-11 14:28:14.950428+00:00,,,
161,tv,2021-08-11 14:27:00.622995+00:00,,,
160,tv,2021-08-11 14:27:00.168849+00:00,,,
159,tv,2021-08-11 13:07:43.636737+00:00,Télévision LG OLED,Réfrigérateur congélateur bas,Téléphone Samsung Galaxy S20 FE
158,tel,2021-08-11 13:01:36.494555+00:00,,,
157,telephon,2021-08-11 13:00:13.393143+00:00,Four électrique,,
156,telephone,2021-08-11 13:00:03.782410+00:00,,,
155,tolephone,2021-08-11 12:58:18.694478+00:00,,,
154,tv,2021-08-11 12:56:59.081716+00:00,,,
153,tele,2021-08-11 12:55:39.102154+00:00,,,
152,tv,2021-08-11 12:54:30.137985+00:00,,,
151,tv,2021-08-11 12:51:40.887743+00:00,,,
150,tv,2021-08-11 12:51:40.782625+00:00,,,
149,casque,2021-08-11 11:13:27.052904+00:00,,,
148,TV,2021-08-11 11:10:52.880974+00:00,,,
147,tv,2021-08-11 11:10:48.406745+00:00,,,
146,télévision,2021-08-11 11:07:29.657455+00:00,,,
145,tv,2021-08-11 11:07:07.249503+00:00,,,
144,tv,2021-08-11 11:06:50.346268+00:00,Télévision LG OLED,,
143,CoNglateur,2021-08-11 11:06:18.380221+00:00,,,
142,CoNgélateur,2021-08-11 11:06:05.677819+00:00,,,
141,tv,2021-08-11 10:36:31.493331+00:00,,,
140,tv,2021-08-11 10:34:37.257413+00:00,Télévision LG Nanocell,,
139,tv,2021-08-11 10:34:17.555405+00:00,TCL 65QLED790 - TV QLED UHD 4K - 65' (165cm) - Dolby,Télévision LG Nanocell,
138,tv,2021-08-11 10:34:07.475123+00:00,,,
137,tv,2021-08-11 10:31:36.612455+00:00,Meuble TV,Télécommande TV,
136,tv,2021-08-11 10:31:12.582945+00:00,,,
135,télé,2021-08-11 00:51:03.582486+00:00,,,
134,télé,2021-08-11 00:50:19.398076+00:00,,,
133,télé,2021-08-11 00:03:55.515220+00:00,,,
132,télévision,2021-08-11 00:03:23.823716+00:00,,,
131,télé,2021-08-11 00:03:18.514128+00:00,,,
